Grafia confirmada;ID da Etnia
aconã;001.00
aikanã;002.00
aikewara;003.00
aimore;004.00
ajuru;005.00
akuntsú;006.00
amanayé;007.00
amondáwa;008.00
anacé;009.00
anambé;010.00
apalaí;011.00
apiaká;012.00
apinayé;013.00
apolima-arara;014.00
apurinã;015.00
aranã;016.00
arapáso;017.00
arapiun;018.00
arara de rondônia;019.00
arara do acre;020.00
arara do aripuanã;021.00
arara do pará;022.00
arara vermelha;023.00
araweté;024.00
arikapú;025.00
arikén;026.00
arikosé;027.00
aruá;028.00
ashaninka;029.00
asurini do tocantins;030.00
asurini do xingu;031.00
atikum;032.00
ava-canoeiro;033.00
awá guajá;034.00
aweti;035.00
baenã;036.00
bakairí;037.00
banawa;038.00
baniwa;039.00
bará;040.00
barasána;041.00
baré;042.00
bóra;043.00
borari;044.00
bororo;045.00
botocudo;046.00
caboclos do assu;047.00
catokin;048.00
chamakóko;049.00
charrua;050.00
chiquitáno;051.00
cinta larga;052.00
dâw;053.00
dení;054.00
desána;055.00
diahói;056.00
djeoromitxí - jabutí;057.00
enawenê-nawê;058.00
e-ñepá;059.00
fulni-ô;060.00
galibi do oiapoque;061.00
galibí marwórno;062.00
gamela;063.00
gavião de rondônia;064.00
gavião krikatejê;065.00
gavião parkatejê;066.00
gavião pukobiê;067.00
guaikurú;068.00
guajá;069.00
guajajara;070.00
guaraní;071.00
guarani kaiowá;072.00
guarani mbya;073.00
guarani nhandeva;074.00
guarasugwe;075.00
guató;076.00
himarimã;077.00
hixkaryána;078.00
hupd'äh;079.00
ikpeng;080.00
ingarikó;081.00
irántxe;082.00
issé;083.00
jamamadí;084.00
jaraqui;085.00
jarawára;086.00
jaricuna;087.00
javaé;088.00
jenipapo-kanindé;089.00
jeripancó;090.00
juma;091.00
juruna;092.00
ka'apor;093.00
kadiwéu;094.00
kaeté;095.00
kahyana;096.00
kaiabi;097.00
kaimbé;098.00
kaingang;099.00
kaixana;100.00
kalabaça;101.00
kalankó;102.00
kalapalo;103.00
kamakã;104.00
kamayurá;105.00
kamba;106.00
kambéba;107.00
kambiwá;108.00
kambiwá-pipipã;109.00
kampé;110.00
kanamanti;111.00
kanamarí;112.00
kanela;113.00
kanela apaniekra;114.00
kanela rankocamekra;115.00
kanindé;116.00
kanoé;117.00
kantaruré;118.00
kapinawá;119.00
karafawyana;120.00
karajá;121.00
karapanã;122.00
karapotó;123.00
karijó;124.00
karipuna;125.00
karipúna do amapá;126.00
kariri;127.00
kariri-xocó;128.00
karitiana;129.00
kassupá;130.00
katawixí;131.00
katukina;132.00
katukina do acre;133.00
katwena;134.00
katxuyana;135.00
kaxarari;136.00
kaxinawá;137.00
kaxixó;138.00
kayapó;139.00
kararao;139.01
mebêngôkre kayapó;139.02
menkrangnoti;139.03
mentuktire;139.04
xikrin (mebengôkre);139.05
kayuisiana;140.00
kinikinau;141.00
kiriri;142.00
kisêdjê;143.00
koiupanká;144.00
kokama;145.00
kokuiregatejê;146.00
kontanawá;147.00
korubo;148.00
krahô;149.00
krahô-kanela;150.00
krenák;151.00
krenyê;152.00
krikati;153.00
kubeo;154.00
kuikuro;155.00
kujubim;156.00
kulina madijá;157.00
kulina páno;158.00
kumaruara;159.00
kuntanawa;160.00
kuripako;161.00
kuruáya;162.00
kwazá;163.00
laiana;164.00
makú;165.00
makúna;166.00
makuráp;167.00
makuxí;168.00
manao;169.00
manchineri;170.00
maragua;171.00
marimã;172.00
marúbo;173.00
matipú;174.00
matís;175.00
matsés;176.00
mawayána;177.00
maxakali;178.00
maya;179.00
maytapu;180.00
mehináku;181.00
menkü;182.00
migueléno;183.00
miránha;184.00
mirititapuia;185.00
mucurim;186.00
munduruku;187.00
munduruku carapreta;188.00
múra;189.00
nadëb;190.00
nahukuá;191.00
nambikwára;192.00
alaketesu;192.01
alantesu;192.02
hahaintesu;192.03
halotesu;192.04
kithaulu;192.05
lakondê;192.06
latundê;192.07
mamaindê;192.08
manduka;192.09
negarotê;192.10
sabanê;192.11
sarare;192.12
sawentesu;192.13
tawandê;192.14
waikisu;192.15
wakalitesu;192.16
wasusu;192.17
nawa;193.00
noke koi;194.00
nukiní;195.00
ofayé;196.00
oro win;197.00
paiaku;198.00
pakaa nova;199.00
oro at;199.01
oro eo;199.02
oro jowin;199.03
oro mon;199.04
oro náo;199.05
oro wam;199.06
oro waram;199.07
oro waram xijein;199.08
palikur;200.00
panará;201.00
pankaiuká;202.00
pankará;203.00
pankará da aldeia serrote dos campos;204.00
pankararé;205.00
pankararú;206.00
pankararú - karuazu;207.00
pankaru;208.00
papavó;209.00
parakanã;210.00
paresí;211.00
parintintim;212.00
pataxó;213.00
pataxo há-há-há;214.00
paumarí;215.00
paumelenho;216.00
payayá;217.00
pipipã;218.00
pirahã;219.00
piratapuya;220.00
piri-piri;221.00
pitaguari;222.00
potiguara;223.00
povo do xinane;224.00
poyanáwa;225.00
puri;226.00
puroborá;227.00
rikbaktsa;228.00
sakurabiat;229.00
salamãy;230.00
sapará;231.00
sateré-mawé;232.00
shanenáwa;233.00
sikiyana;234.00
siriano;235.00
suruí de rondônia;236.00
suruwaha;237.00
tabajara;238.00
tamoio;239.00
tapajós;240.00
tapayuna;241.00
