id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,emIngles
tt0850678,Jackson Arms,Jackson Arms,2015,90,Romance,6.7,20,actress,Grace Jiang,Kim Jiang Dubaniewicz,N,N,"actress,director,producer","tt9554862,tt2384999,tt0472196,tt7820648",True
tt10006510,Life Mein Twist Hai,Life Mein Twist Hai,2014,N,Romance,9.6,8,actress,N,Arshi Suryavanshi,N,N,,N,False
tt10033852,Rangeela Raybaa,Rangeela Raybaa,2017,143,Romance,8.3,18,actor,N,Alhad Arvind Andore,N,N,actor,N,False
tt10033904,Spandan What is Relationship,Spandan What is Relationship,2017,142,Romance,7.4,5,actor,N,Shailesh Narayan Kulkarni,N,N,"director,actor,producer",N,True
tt10039472,Premak Basaat,Premak Basaat,2018,N,Romance,8.9,10,actor,Birju Kaka,Rajeev Jha,N,N,actor,"tt19868542,tt1886663,tt10039472,tt14091818",False
tt10077042,Single & Ready,Single & Ready,2019,92,Romance,6.7,11,actor,Brandon,Mike Karban,N,N,actor,"tt6884074,tt15661184,tt3529344,tt4515408",True
tt10085844,Tausiyah Cinta,Tausiyah Cinta,2016,90,Romance,7.2,6,actor,Azka,Hamas Syahid,N,N,actor,"tt7340660,tt5605508,tt10085844,tt9590188",False
tt10106822,Bhetali Tu Punha,Bhetali Tu Punha,2017,146,Romance,8.3,70,actor,Alok,Vaibhav Tatwawadi,1988,N,actor,"tt2130033,tt3735246,tt5985026,tt15516964",False
tt10116478,Rose and Tulip,Rose and Tulip,2019,90,Romance,7.2,48,actress,Etsuko,Eri Fuse,1962,N,actress,"tt1119377,tt2390301,tt0098967,tt0852726",True
tt10125986,Up to You,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance,3.7,164,actor,N,Katsuya Maiguma,N,N,"actor,miscellaneous","tt8075192,tt10795658,tt1825371,tt4143148",False
tt10162730,Prem Amar 2,Prem Amar 2,2019,N,Romance,3.8,93,actor,Aryan Mitra,Rakibul Hasan Mahmud,2000,N,"actor,music_department","tt10162730,tt11297214,tt4061558,tt6545298",False
tt10165624,Christmas Coupon,Christmas Coupon,2019,92,Romance,3.4,223,actor,Bobby Harrison,Robert Laenen,N,N,"actor,stunts,special_effects","tt14950412,tt5845560,tt21046470,tt2332535",True
tt10209164,Mogra Phulaalaa,Mogra Phulaalaa,2019,136,Romance,6.6,125,actress,Shivangi,Sai Deodhar,1974,N,"actress,producer","tt0102701,tt10011102,tt8858526,tt7654814",False
tt10234494,Always Miss You,Xia yi ren: Qian ren,2019,98,Romance,3.9,55,actress,N,Hsin-Yi Chiu,N,N,actress,tt6357258,False
tt10241024,2 Weeks in Lagos,2 Weeks in Lagos,2019,107,Romance,6.3,50,actor,Otunba Ayodeji,Bambo Adebowale,N,N,actor,tt10241024,False
tt10283234,Ratrir Jatri,Ratrir Jatri,2019,N,Romance,7.8,12,actor,Ashik,Anisur Rahman Milon,N,N,actor,"tt6686136,tt15170450,tt1297828,tt9044418",False
