id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,Is_English
tt0062336,The Tango of the Widower and Its Distorting Mirror,El Tango del Viudo y Su Espejo Deformante,2020,70,Drama,6.4,163,actor,Silva,Luis Alarcón,1929,N,"actor,special_effects","tt3234226,tt0379108,tt0242198,tt1947646",False
tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018,122,Drama,6.7,7455,actress,The Actress,Oja Kodar,1941,N,"actress,writer,director","tt0108506,tt0239070,tt0209994,tt0069049",True
tt0120589,A Dangerous Practice,A Dangerous Practice,2022,108,Drama,7.0,135,actor,Cícero,Cássio Gabus Mendes,1961,N,"actor,producer","tt0149517,tt0478978,tt1587828,tt0840797",True
tt0173042,Premaloka,Premaloka,2021,154,"Drama,Romance",7.9,518,actor,Ravi,V. Ravichandran,1961,N,"actor,director,writer","tt0173189,tt0173042,tt0308793,tt0470192",False
tt0192528,Heaven & Hell,Reverse Heaven,2018,104,Drama,3.9,118,actor,Demon in Heaven,Tim Dax,N,N,"actor,producer,director","tt15203302,tt3796746,tt4997978,tt5225574",True
tt0230622,Parinati,Parinati,2020,125,Drama,7.7,66,actor,N,B.D. Singh,N,N,actor,tt0230622,False
tt0246661,Grahasthi,Grahasthi,2017,N,Drama,5.9,16,actress,Shanta,Seema Deo,N,N,actress,"tt0101432,tt0364524,tt0107986,tt0066763",True
tt0305811,Mathru Devo Bhava,Mathru Devo Bhava,2015,140,Drama,8.2,143,actor,Killer,Tanikella Bharani,1954,N,"actor,writer,director","tt2742164,tt2631186,tt4849438,tt1268906",False
tt0339917,Husband and Wife,Wo men fu fu zhi jian,2019,N,Drama,5.9,16,actor,Xiao Juan's Father,Guiling Wang,N,N,actor,"tt0339917,tt0355037",False
tt0359374,Hamara Khandaan,Hamara Khandaan,2022,N,"Drama,Romance",5.5,44,actor,Mr. Miranda (Ruby's dad),Alok Nath,1956,N,"actor,producer","tt0098999,tt3892312,tt0248126,tt0083987",False
tt0424859,The Ninth Cloud,The Ninth Cloud,2014,93,Drama,6.3,72,actress,Helene,Sabina Akhmedova,1981,N,"actress,producer","tt2935974,tt5270810,tt3958022,tt5132448",True
tt0427543,A Million Little Pieces,A Million Little Pieces,2018,113,Drama,6.2,3477,actor,John,Giovanni Ribisi,1974,N,"actor,producer,cinematographer","tt0181984,tt0219699,tt0499549,tt0346156",True
tt0460890,The Only Living Boy in New York,The Only Living Boy in New York,2017,89,Drama,6.3,15137,actress,Johanna,Kate Beckinsale,1973,N,"actress,producer,soundtrack","tt0452702,tt0338526,tt0320691,tt0401855",True
tt0470936,"Hot Country, Cold Winter","Tak erkir, tsurt dzmer",2016,104,Drama,4.2,70,actress,N,Yana Drouz,1956,N,"actress,director,writer","tt0091745,tt0470936,tt0111044,tt6071646",False
tt0811613,Meridian Lines,Meridian Lines,2013,N,Drama,6.6,103,actress,Jyoti,Raima Sen,1979,N,actress,"tt0458033,tt2075108,tt0808306,tt8146434",True
tt0834112,Maa Ayana Bangaram,Maa Ayana Bangaram,2014,N,Drama,8.0,17,actor,N,Rajasekhar,N,N,"actor,writer,director","tt1045839,tt19893758,tt0267524,tt1579701",False
tt0839742,Bhopal: A Prayer for Rain,Bhopal: A Prayer for Rain,2014,96,Drama,7.1,2106,actor,Motwani,Kal Penn,1977,N,"actor,miscellaneous,producer","tt0412142,tt0481536,tt0283111,tt0366551",True
tt0850678,Jackson Arms,Jackson Arms,2015,90,Romance,6.7,20,actress,Grace Jiang,Kim Jiang Dubaniewicz,N,N,"actress,director,producer","tt9554862,tt2384999,tt0472196,tt7820648",True
tt0858419,Bolden,Bolden,2019,108,Drama,5.6,565,actor,Bartley,Erik LaRay Harvey,N,N,actor,"tt0117998,tt0272152,tt0858419,tt3322314",False
