id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt0850678,Jackson Arms,Jackson Arms,2015,90,Romance,6.7,20,actor,Greg,Matthew O. Sloan,N,N,actor,"tt0850678,tt1553036"
tt0850678,Jackson Arms,Jackson Arms,2015,90,Romance,6.7,20,actress,Mrs. Jiang,Luona Wang,N,N,actress,tt0850678
tt0850678,Jackson Arms,Jackson Arms,2015,90,Romance,6.7,20,actor,Mark,Jeff Bredt,1963,N,actor,"tt0377256,tt0445035,tt0850678"
tt0850678,Jackson Arms,Jackson Arms,2015,90,Romance,6.7,20,actress,Grace Jiang,Kim Jiang Dubaniewicz,N,N,"actress,director,producer","tt9554862,tt2384999,tt0472196,tt7820648"
tt10006510,Life Mein Twist Hai,Life Mein Twist Hai,2014,N,Romance,9.6,8,actor,N,Shailendra Pratap Singh,N,N,,N
tt10006510,Life Mein Twist Hai,Life Mein Twist Hai,2014,N,Romance,9.6,8,actor,N,Michelle Shah,N,N,,N
tt10006510,Life Mein Twist Hai,Life Mein Twist Hai,2014,N,Romance,9.6,8,actor,Kishore,Govind Mishra,1991,N,"writer,director,producer","tt19390220,tt14064000,tt15387558,tt14071120"
tt10006510,Life Mein Twist Hai,Life Mein Twist Hai,2014,N,Romance,9.6,8,actress,Shital,Archana Singh,N,N,actress,"tt10006510,tt11881088"
tt10006510,Life Mein Twist Hai,Life Mein Twist Hai,2014,N,Romance,9.6,8,actor,N,Sahil Akhtar,N,N,,N
tt10006510,Life Mein Twist Hai,Life Mein Twist Hai,2014,N,Romance,9.6,8,actor,N,Sahil Akhtar,N,N,actor,"tt10006510,tt7541084,tt7518766,tt9464770"
tt10006510,Life Mein Twist Hai,Life Mein Twist Hai,2014,N,Romance,9.6,8,actress,N,Arshi Suryavanshi,N,N,,N
tt10033852,Rangeela Raybaa,Rangeela Raybaa,2017,143,Romance,8.3,18,actor,N,Kishore Chougule,N,N,actor,"tt5571064,tt7678460,tt1937455,tt0461200"
tt10033852,Rangeela Raybaa,Rangeela Raybaa,2017,143,Romance,8.3,18,actor,N,Mayur Dalvi,N,N,actor,N
tt10033852,Rangeela Raybaa,Rangeela Raybaa,2017,143,Romance,8.3,18,actor,N,Tushar Bhaskar,N,N,actor,N
tt10033852,Rangeela Raybaa,Rangeela Raybaa,2017,143,Romance,8.3,18,actor,N,Alhad Arvind Andore,N,N,actor,N
tt10033904,Spandan What is Relationship,Spandan What is Relationship,2017,142,Romance,7.4,5,actor,N,Prasann Pawar,N,N,actor,N
